species_code,order,family,scientific_name,common_name,raptor_group
0318,Columbiformes,Columbidae,Columbina talpacoti,Ruddy Ground-Dove,N/A
0319,Passeriformes,Tyrannidae,Contopus caribaeus,Cuban Pewee,N/A
0320,Passeriformes,Tyrannidae,Contopus cooperi,Olive-Sided Flycatcher,N/A
0321,Passeriformes,Tyrannidae,Contopus pertinax,Greater Pewee,N/A
0322,Passeriformes,Tyrannidae,Contopus sordidulus,Western Wood-Pewee,N/A
0323,Passeriformes,Tyrannidae,Contopus sordidulus saturatus,Western Wood-Pewee (saturatus subspecies),N/A
0324,Passeriformes,Tyrannidae,Contopus sordidulus veliei,Western Wood-Pewee (veliei subspecies),N/A
0325,Passeriformes,Tyrannidae,Contopus virens,Eastern Wood-Pewee,N/A
0326,Galliformes,Tetraonidae,Controcercus urophasianus,Sage Grouse,N/A
0327,Accipitriformes,Cathartidae,Coragyps atratus,Black Vulture,Vulture
0328,Passeriformes,Corvidae,Corvus brachyrhynchos,American Crow,N/A
0329,Passeriformes,Corvidae,Corvus brachyrhynchos brachyrhynchos,American Crow (brachyrhynchos subspecies),N/A
0330,Passeriformes,Corvidae,Corvus caurinus,Northwestern Crow,N/A
0331,Passeriformes,Corvidae,Corvus corax,Common Raven,N/A
0332,Passeriformes,Corvidae,Corvus corax sinuatus,Common Raven (sinuatus subspecies),N/A
0333,Passeriformes,Corvidae,Corvus cryptoleucus,Chihuahuan Raven,N/A
0334,Passeriformes,Corvidae,Corvus hawaiiensis,ʻAlala,N/A
0335,Passeriformes,Corvidae,Corvus ossifragus,Fish Crow,N/A
0336,Gruiformes,Rallidae,Coturnicops noveboracensis,Yellow Rail,N/A
0337,Galliformes,Phasianidae,Coturnix japonica,Japanese Quail,N/A
0338,Passeriformes,Fringillidae,Crithagra mozambica,Yellow-Fronted Canary,N/A
0339,Cuculiformes,Cuculidae,Crotophaga ani,Smooth-Billed Ani,N/A
0340,Cuculiformes,Cuculidae,Crotophaga sulcirostris,Groove-Billed Ani,N/A
0341,Strigiformes,Strigidae,Cryptoglaux acadica acadica,Saw-Whet Owl,Owl
0342,Passeriformes,Corvidae,Cyanocitta cristata,Blue Jay,N/A
0343,Passeriformes,Corvidae,Cyanocitta cristata bromia,Blue Jay (bromia subspecies),N/A
0344,Passeriformes,Corvidae,Cyanocitta cristata cristata,Blue Jay (cristata subspecies),N/A
0345,Passeriformes,Corvidae,Cyanocitta stelleri,Steller's Jay,N/A
0346,Passeriformes,Corvidae,Cyanocitta stelleri frontalis,Steller's Jay (frontalis subspecies),N/A
0347,Passeriformes,Corvidae,Cyanocitta stelleri macrolopha,Steller's Jay (macrolopha subspecies),N/A
0348,Anseriformes,Anatidae,Cygnus atratus,Black Swan,N/A
0349,Anseriformes,Anatidae,Cygnus buccinator,Trumpeter Swan,N/A
0350,Anseriformes,Anatidae,Cygnus columbianus,Tundra Swan,N/A
0351,Anseriformes,Anatidae,Cygnus columbianus columbianus,Tundra Swan (columbianus subspecies),N/A
0352,Anseriformes,Anatidae,Cygnus cygnus,Whooper Swan,N/A
0353,Anseriformes,Anatidae,Cygnus olor,Mute Swan,N/A
0354,Apodiformes,Trochilidae,Cynanthus latirostris,Broad-Billed Hummingbird,N/A
0355,Apodiformes,Apodidae,Cypseloides niger,Black Swift,N/A
0356,Galliformes,Odontophoridae,Cyrtonyx montezumae,Montezuma Quail,N/A
0357,Galliformes,Phasianidae,Dendragapus fuliginosus,Sooty Grouse,N/A
0358,Galliformes,Phasianidae,Dendragapus obscurus,Blue Grouse,N/A
0359,Galliformes,Phasianidae,Dendragapus obscurus fuliginosus,Blue Grouse (fuliginosus subspecies),N/A
