park_code,species_code,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected,raptor_sci_fam,is_raptor
WICA,0800,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0039,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0046,Approved,Present,Native,Common,Resident,Species of Concern,True,,False
WICA,0174,Approved,Present,Native,Occasional,Resident,Least Concern,False,,False
WICA,0283,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0544,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0638,Approved,Present,Native,Uncommon,Migratory,Species of Concern,True,,False
WICA,0641,Approved,Present,Native,Uncommon,Resident,Least Concern,False,,False
WICA,0740,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0743,Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False,,False
WICA,0824,Approved,Not Present (False Report),Native,Unknown,Unknown,Least Concern,False,,False
WICA,0829,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0874,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0987,Approved,Present,Native,Common,Resident,Least Concern,False,,False
WICA,0992,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,0993,Approved,Present,Native,Abundant,Breeder,Least Concern,False,,False
WICA,0996,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,1169,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
WICA,1171,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
WICA,1176,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
WICA,0216,Approved,Present,Native,Uncommon,Resident,Least Concern,False,,False
WICA,0219,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0223,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0224,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0226,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0229,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0301,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0594,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0608,Approved,Present,Native,Common,Breeder,Species of Concern,True,,False
WICA,0613,Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False,,False
WICA,0521,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0768,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0929,Approved,Present,Native,Occasional,Unknown,Species of Concern,True,,False
WICA,1000,Approved,Present,Native,Uncommon,Resident,Least Concern,False,,False
WICA,1050,Approved,Present,Native,Rare,Unknown,Species of Concern,True,,False
WICA,1052,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0019,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0397,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0441,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0530,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0532,Approved,Present,Native,Occasional,Resident,Least Concern,False,,False
WICA,0537,Approved,Present,Native,Rare,Resident,Least Concern,False,,False
WICA,0659,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0910,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,1036,Approved,Present,Native,Rare,Unknown,Least Concern,False,,False
WICA,1038,Approved,Present,Native,Abundant,Breeder,Least Concern,False,,False
WICA,1162,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0562,Approved,Present,Native,Uncommon,Resident,Least Concern,False,,False
WICA,0563,Approved,Present,Native,Uncommon,Resident,Species of Concern,True,,False
WICA,0402,Approved,Present,Native,Uncommon,Resident,Least Concern,False,,False
WICA,0653,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0715,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,,False
WICA,1070,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0076,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0855,In Review,Present,Unknown,Unknown,Unknown,Least Concern,False,,False
WICA,0855,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0366,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0370,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0374,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0384,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0385,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0386,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0390,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,0489,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0528,Approved,Present,Native,Common,Breeder,Species of Concern,True,,False
WICA,0656,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0710,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,,False
WICA,0943,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0945,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0729,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
WICA,0957,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,1114,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,1124,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,1127,Approved,Not Confirmed,Native,Unknown,Unknown,Species of Concern,True,,False
WICA,1158,Approved,Present,Native,Rare,Migratory,Species of Concern,True,,False
WICA,0738,Approved,Present,Not Native,Occasional,Unknown,Least Concern,False,,False
WICA,0866,In Review,Present,Native,Uncommon,Unknown,Least Concern,False,,False
WICA,0918,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0922,Approved,Present,Native,Uncommon,Resident,Least Concern,False,,False
WICA,0965,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0966,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0971,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,1039,Approved,Present,Not Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0247,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0936,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,1078,Approved,Present,Native,Abundant,Breeder,Least Concern,False,,False
WICA,1084,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
WICA,0237,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0238,Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False,,False
WICA,0244,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,0668,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0958,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0962,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,1090,Approved,Present,Native,Abundant,Breeder,Least Concern,False,,False
WICA,0320,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,,False
WICA,0322,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0412,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
WICA,0418,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0419,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0420,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0422,Approved,Present,Native,Occasional,Unknown,Species of Concern,True,,False
WICA,0673,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0939,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0940,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,1105,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,1106,Approved,Present,Native,Uncommon,Resident,Least Concern,False,,False
WICA,1107,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,1133,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,1138,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,1146,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,1149,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,1151,In Review,Present,Unknown,Unknown,Unknown,Least Concern,False,,False
WICA,0095,Approved,Present,Native,Uncommon,Resident,Species of Concern,True,,False
WICA,0127,Approved,Present,Native,Occasional,Unknown,Species of Concern,True,,False
WICA,0147,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0761,Approved,Present,Native,Rare,Migratory,Species of Concern,True,,False
WICA,0307,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0624,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0627,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0803,Approved,Present,Native,Uncommon,Resident,Under Review,True,,False
WICA,0809,Approved,Present,Native,Uncommon,Breeder,Species of Concern,True,,False
WICA,0816,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0976,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0980,Approved,Not Present (False Report),Native,Unknown,Unknown,Species of Concern,True,,False
WICA,0011,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,,False
WICA,0851,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0852,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0853,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0012,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,Strigidae,True
WICA,0102,Approved,Present,Native,Rare,Unknown,Species of Concern,True,Strigidae,True
WICA,0104,Approved,Present,Native,Uncommon,Breeder,Species of Concern,True,Strigidae,True
WICA,0105,Approved,Present,Native,Rare,Breeder,Least Concern,False,Strigidae,True
WICA,0142,Approved,Present,Native,Occasional,Migratory,Least Concern,False,Strigidae,True
WICA,0143,Approved,Present,Native,Common,Breeder,Least Concern,False,Strigidae,True
WICA,0617,Approved,Present,Native,Occasional,Unknown,Least Concern,False,Strigidae,True
WICA,1034,Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False,Strigidae,True
WICA,0775,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,,False
WRST,0002,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,Accipitridae,True
WRST,0005,Approved,Present,Native,Common,Breeder,Species of Concern,True,Accipitridae,True
WRST,0089,Approved,Present,Native,Common,Breeder,Species of Concern,True,Accipitridae,True
WRST,0156,Approved,Present,Native,Common,Breeder,Least Concern,False,Accipitridae,True
WRST,0161,Approved,Present,Native,Common,Migratory,Species of Concern,True,Accipitridae,True
WRST,0169,Approved,Present,Native,Rare,Breeder,Least Concern,False,Accipitridae,True
WRST,0294,Approved,Present,Native,Uncommon,Breeder,Species of Concern,True,Accipitridae,True
WRST,0508,Approved,Present,Native,Common,Breeder,Least Concern,False,Accipitridae,True
WRST,0724,Approved,Present,Native,Unknown,Breeder,Species of Concern,True,Pandionidae,True
WRST,0052,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0053,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0055,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0056,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0059,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WRST,0061,Approved,Present,Native,Rare,Vagrant,Least Concern,False,,False
WRST,0062,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0067,Approved,Present,Native,Rare,Vagrant,Least Concern,False,,False
WRST,0073,Approved,Present,Native,Common,Migratory,Least Concern,False,,False
WRST,0108,Approved,Present,Native,Common,Breeder,Species of Concern,True,,False
WRST,0109,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WRST,0110,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WRST,0111,Approved,Not Present (Historical Report),Native,Unknown,Unknown,Least Concern,False,,False
