,species_id,park_code,park_name,order,family,scientific_name,common_names,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected
165,ACAD-1165,ACAD,Acadia,Charadriiformes,Scolopacidae,Numenius americanus,"Long-Billed Curlew, Southern Long-Billed Curlew",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
167,ACAD-1167,ACAD,Acadia,Charadriiformes,Scolopacidae,Numenius phaeopus,"Hudsonian Curlew, Hudsonian Whimbrel, Whimbrel",Approved,Present,Native,Rare,Migratory,Species of Concern,True
169,ACAD-1169,ACAD,Acadia,Charadriiformes,Scolopacidae,Phalaropus lobatus,"Northern Phalarope, Red-Necked Phalarope",Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False
172,ACAD-1172,ACAD,Acadia,Charadriiformes,Scolopacidae,Tringa flavipes,"Lesser Yellowlegs, Lesser Yellow-Legs",Approved,Present,Native,Uncommon,Migratory,Least Concern,False
173,ACAD-1173,ACAD,Acadia,Charadriiformes,Scolopacidae,Tringa melanoleuca,"Greater Yellowlegs, Greater Yellow-Legs",Approved,Present,Native,Common,Migratory,Least Concern,False
174,ACAD-1174,ACAD,Acadia,Charadriiformes,Scolopacidae,Tringa solitaria,"Eastern Solitary Sandpiper, Solitary Sandpiper",Approved,Present,Native,Common,Migratory,Least Concern,False
178,ACAD-1178,ACAD,Acadia,Charadriiformes,Stercorariidae,Stercorarius pomarinus,Pomarine Jaeger,Approved,Not Present (False Report),Not Native,Unknown,Vagrant,Least Concern,False
179,ACAD-1179,ACAD,Acadia,Columbiformes,Columbidae,Columba livia,"Domestic Pigeon, Feral Pigeon, Pigeon, Rock Dove",Approved,Not Confirmed,Not Native,Unknown,Unknown,Least Concern,False
181,ACAD-1181,ACAD,Acadia,Columbiformes,Columbidae,Zenaida macroura,"Eastern Mourning Dove, Mourning Dove",Approved,Present,Native,Common,Breeder,Least Concern,False
182,ACAD-1182,ACAD,Acadia,Coraciiformes,Alcedinidae,Ceryle alcyon,"Belted Kingfisher, Eastern Belted Kingfisher",Approved,Present,Native,Common,Breeder,Least Concern,False
183,ACAD-1183,ACAD,Acadia,Cuculiformes,Cuculidae,Coccyzus americanus,"Eastern Yellow-Billed Cuckoo, Yellow-Billed Cuckoo",Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False
185,ACAD-1185,ACAD,Acadia,Falconiformes,Falconidae,Falco columbarius,"Eastern Pigeon Hawk, Merlin, Pigeon Hawk",Approved,Present,Native,Common,Unknown,Species of Concern,True
186,ACAD-1186,ACAD,Acadia,Falconiformes,Falconidae,Falco peregrinus,"American Peregrine Falcon, Duck Hawk, Peregrine Falcon",Approved,Present,Not Native,Uncommon,Breeder,Species of Concern,True
187,ACAD-1187,ACAD,Acadia,Falconiformes,Falconidae,Falco rusticolus,"American Gyrfalcon, Gyrfalcon, White Gyrfalcon",Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False
188,ACAD-1188,ACAD,Acadia,Falconiformes,Falconidae,Falco sparverius,"American Kestrel, Eastern Sparrow Hawk, Northern Sparrow Hawk, Sparrow Hawk",Approved,Present,Native,Common,Unknown,Least Concern,False
189,ACAD-1189,ACAD,Acadia,Galliformes,Odontophoridae,Colinus virginianus,"Bob-White, Northern Bobwhite",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
190,ACAD-1190,ACAD,Acadia,Galliformes,Phasianidae,Bonasa umbellus,"Canada Ruffed Grouse, Partridge, Ruffed Grouse, Timber Grouse",Approved,Present,Native,Common,Breeder,Least Concern,False
